price,quantity,type,timestamp
29699000,0.3929,0,2022-11-06 13:26:52.586
29691000,0.0517,0,2022-11-06 13:26:52.586
29690000,0.1521,0,2022-11-06 13:26:52.586
29689000,0.049,0,2022-11-06 13:26:52.586
29688000,0.4977,0,2022-11-06 13:26:52.586
29700000,0.0547,1,2022-11-06 13:26:52.586
29701000,0.0832,1,2022-11-06 13:26:52.586
29702000,0.055,1,2022-11-06 13:26:52.586
29704000,0.105,1,2022-11-06 13:26:52.586
29705000,0.0523,1,2022-11-06 13:26:52.586
29699000,0.3455,0,2022-11-06 13:26:53.691
29692000,0.0613,0,2022-11-06 13:26:53.691
29691000,0.0517,0,2022-11-06 13:26:53.691
29690000,0.1825,0,2022-11-06 13:26:53.691
29689000,0.049,0,2022-11-06 13:26:53.691
29700000,0.0394,1,2022-11-06 13:26:53.691
29701000,0.0832,1,2022-11-06 13:26:53.691
29702000,0.055,1,2022-11-06 13:26:53.691
29704000,0.105,1,2022-11-06 13:26:53.691
29705000,0.0523,1,2022-11-06 13:26:53.691
29699000,0.2673,0,2022-11-06 13:26:54.661
29692000,0.1464,0,2022-11-06 13:26:54.661
29691000,0.0517,0,2022-11-06 13:26:54.661
29690000,0.1201,0,2022-11-06 13:26:54.661
29689000,0.049,0,2022-11-06 13:26:54.661
29700000,0.0634,1,2022-11-06 13:26:54.661
29701000,0.0832,1,2022-11-06 13:26:54.661
29702000,0.055,1,2022-11-06 13:26:54.661
29704000,0.105,1,2022-11-06 13:26:54.661
29705000,0.0523,1,2022-11-06 13:26:54.661
29699000,0.2673,0,2022-11-06 13:26:55.812
29692000,0.1464,0,2022-11-06 13:26:55.812
29691000,0.0517,0,2022-11-06 13:26:55.812
29690000,0.1201,0,2022-11-06 13:26:55.812
29689000,0.049,0,2022-11-06 13:26:55.812
29700000,0.0481,1,2022-11-06 13:26:55.812
29702000,0.055,1,2022-11-06 13:26:55.812
29704000,0.105,1,2022-11-06 13:26:55.812
29705000,0.0523,1,2022-11-06 13:26:55.812
29706000,0.1037,1,2022-11-06 13:26:55.812
29699000,0.2673,0,2022-11-06 13:26:56.541
29692000,0.1464,0,2022-11-06 13:26:56.541
29691000,0.0517,0,2022-11-06 13:26:56.541
29690000,0.1201,0,2022-11-06 13:26:56.541
29689000,0.049,0,2022-11-06 13:26:56.541
29700000,0.0481,1,2022-11-06 13:26:56.541
29701000,0.015,1,2022-11-06 13:26:56.541
29702000,0.055,1,2022-11-06 13:26:56.541
29704000,0.105,1,2022-11-06 13:26:56.541
29705000,0.0523,1,2022-11-06 13:26:56.541
29699000,0.2673,0,2022-11-06 13:26:58.621
29695000,0.0872,0,2022-11-06 13:26:58.621
29692000,0.1961,0,2022-11-06 13:26:58.621
29690000,0.1585,0,2022-11-06 13:26:58.621
29689000,0.049,0,2022-11-06 13:26:58.621
29700000,0.0001,1,2022-11-06 13:26:58.621
29701000,0.015,1,2022-11-06 13:26:58.621
29702000,0.055,1,2022-11-06 13:26:58.621
29704000,0.105,1,2022-11-06 13:26:58.621
29705000,0.0523,1,2022-11-06 13:26:58.621
29699000,0.2619,0,2022-11-06 13:26:59.652
29695000,0.0872,0,2022-11-06 13:26:59.652
29694000,0.0546,0,2022-11-06 13:26:59.652
29692000,0.1961,0,2022-11-06 13:26:59.652
29690000,0.1585,0,2022-11-06 13:26:59.652
29700000,0.0001,1,2022-11-06 13:26:59.652
29701000,0.015,1,2022-11-06 13:26:59.652
29702000,0.0164,1,2022-11-06 13:26:59.652
29704000,0.105,1,2022-11-06 13:26:59.652
29705000,0.0523,1,2022-11-06 13:26:59.652
29699000,0.2619,0,2022-11-06 13:27:00.818
29695000,0.0872,0,2022-11-06 13:27:00.818
29694000,0.1067,0,2022-11-06 13:27:00.818
29692000,0.1961,0,2022-11-06 13:27:00.818
29690000,0.1585,0,2022-11-06 13:27:00.818
29700000,0.0001,1,2022-11-06 13:27:00.818
29701000,0.0607,1,2022-11-06 13:27:00.818
29704000,0.0161,1,2022-11-06 13:27:00.818
29706000,0.0394,1,2022-11-06 13:27:00.818
29708000,0.0006,1,2022-11-06 13:27:00.818
29699000,0.2619,0,2022-11-06 13:27:01.711
